bbc.co.uk	uk|1
google.co.in	us|p
youtube.com	us|p
google.com	us|p
culture.gouv.fr	de|1
archive.org	ir|1
nytimes.com	us|p
passc.net	ca|p
webcitation.org	ca|p
unesco.org	fr|p
stat.gov.pl	pl|1
geoportail.gouv.fr	fr|1
freeuk.com	uk|p
statistics.gov.uk	uk|1
google.ca	ca|1,us|1
indiarailinfo.com	us|p
aljazeera.net	us|p
nwsource.com	us|p
naco.org	us|p
runeberg.org	se|p
businessweek.com	us|p
d-nb.info	de|p
nationaltrust.org.uk	uk|1
weather.com	us|p
wvculture.org	us|p
admin.ch	ch|1,de|1
abet.org	us|p
state.or.us	us|p
azcentral.com	us|p
utsandiego.com	us|p
uiuc.edu	us|1
nsi.bg	bg|1
openstreetmap.org	uk|p
blogspot.com	gi|1
twitter.com	us|p
sztetl.org.pl	fr|1
washington.edu	us|1
rlp.de	de|p
eoearth.org	us|p
hollywoodreporter.com	us|p
cuny.edu	co|1,us|1
njmonthly.com	us|p
norfolk.gov.uk	uk|1,nf|1
elsalvador.com	sv|p
visitcumbria.com	uk|p
staradvertiser.com	us|p
fourseasons.com	ca|p
inmediahk.net	us|p
statistik-nord.de	de|p
mta.info	us|p
waspada.co.id	id|p
winnipegfreepress.com	ca|p
southwest.com	us|p
ine.gub.uy	uy|1
lagis-hessen.de	de|p
croydon.gov.uk	uk|1
visitjordan.com	jo|p
scotrail.co.uk	uk|1
nrsc.gov.in	in|p
weather.in.ua	ua|1
trtc.com.tw	tw|1
floridaleagueofcities.com	us|p
belknapcounty.org	us|p
thomas.edu	us|1
fearrington.com	us|p
arun.gov.uk	uk|1
geoportal.gov.pl	pl|1
4en5mei.nl	nl|1
flixco.info	au|p
mbcet.ac.in	in|p
dsm.com	nl|p
wiltshiremuseum.org.uk	uk|1
arwg-gibe.org	us|p
hooksairport.com	us|p
bouchard-pereetfils.com	fr|1
lufkinfirst.com	us|p
muszyna.pl	pl|1
naturschutzinformationen-nrw.de	de|p
markt-reichenberg.de	de|p
budapestbylocals.com	hu|p
heritagecentre.ca	ca|1
villageoflougheed.com	ca|p
massongex.ch	ch|1
opera.ee	ee|1
